sample	microcosmID	treatment	replicate	day	cil	wrm	strainID	count	count.correct	lograrecount	log10rab	sflogcount	rlogcount	PA
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-2659	7947	5828	6.992096427415888	-0.7576319866462562	8.869529820550675	8.884926746215811	1
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-2792	0	0	0	-4.523226041965701	0	-0.6254759831305888	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-3031	0	0	0	-4.523226041965701	0	-2.341094251070475	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-3237	0	0	0	-4.523226041965701	0	-0.9189520372230159	0
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-0006	202	72	2.3978952727983707	-2.711182976856869	4.127163835208988	4.050101445562385	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-0097	5	1	0	-4.273475841313344	0.6136967379614474	0.059025342583895996	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-0105	120	304	3.9318256327243257	-2.090205997630539	5.555140403144159	5.526412745583041	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-0262	0	0	0	-4.574505836977325	0	-1.332396004585884	0
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-0403	2090	11886	7.564238475170491	-0.49943357427120627	9.217453490171819	9.22375263825939	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-1279	2	1	0	-4.273475841313344	0.6136967379614474	0.12554154108481336	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-1287	7643	2902	6.111467339502679	-1.1116588011456512	7.807799745793417	7.761783161451696	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-1292	3041	1270	5.187385805840755	-1.4703602864233167	6.981938790168301	7.020295659893424	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-1299	7	2	0	-4.0973845822576624	0.9912108639633854	0.5791639559539459	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-1842	4	0	0	-4.574505836977325	0	0.1252149252325993	0
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-1896	0	0	0	-4.574505836977325	0	-1.4576194718375608	0
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-1923	2618	2067	5.8805329864007	-1.25895530255542	7.468662092010352	7.466595602064404	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-1972	5775	3151	6.222576268071369	-1.0759196281598071	7.890087326854927	7.873080116081388	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-1977	7021	6906	7.046647277848756	-0.735216380971178	8.674554449724056	8.703377954356291	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-1988	0	0	0	-4.574505836977325	0	-0.23994500059339863	0
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-2159	0	0	0	-4.574505836977325	0	-0.2546560079371218	0
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-2160	7	43	2.302585092994046	-2.9310531604911376	3.6225164975921214	3.300837307836266	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-2164	0	0	0	-4.574505836977325	0	0.11149719156469697	0
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-2443	0	0	0	-4.574505836977325	0	0.23167595279431846	0
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-2494	0	0	0	-4.574505836977325	0	-0.10225532132994594	0
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-2659	8981	8912	7.2909747781429814	-0.6244819304539985	8.92952407007167	8.944133299149733	1
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-2792	0	0	0	-4.574505836977325	0	-0.6261422091752062	0
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-3031	0	0	0	-4.574505836977325	0	-2.424302854776861	0
HN4-d45	HN_C	HN	C	45	0	1	HAMBI-3237	0	0	0	-4.574505836977325	0	-0.9226910393118661	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-0006	0	0	0	-4.770616398191687	0	-1.4447415060810174	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-0097	0	0	0	-4.770616398191687	0	-0.8361342766598631	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-0105	0	0	0	-4.770616398191687	0	-1.3480758848068972	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-0262	0	0	0	-4.770616398191687	0	-1.3324592688744654	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-0403	4425	23352	7.792761720816526	-0.4022737188674631	9.827552436320483	9.826120418965981	1
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-1279	0	0	0	-4.770616398191687	0	-1.2532599796641541	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-1287	270	95	2.0794415416798357	-2.7883451651521187	4.336111186457848	4.393821194719492	1
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-1292	1502	582	4.07753744390572	-2.004947843432673	6.13769326158412	6.187796151180444	1
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-1299	0	0	0	-4.770616398191687	0	-1.4544640056407676	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-1842	1	0	0	-4.770616398191687	0	0.12518699837937897	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-1896	0	0	0	-4.770616398191687	0	-1.513203971704887	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-1923	2873	2104	5.3230099791384085	-1.4473642980199999	7.421254728519484	7.420212582681082	1
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-1972	31431	15913	7.440733707389261	-0.5688370444666262	9.444031405682336	9.39971155583648	1
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-1977	10491	9576	6.890609120147166	-0.7893869107716862	8.93620737256649	8.962050578572358	1
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-1988	0	0	0	-4.770616398191687	0	-0.2408097950602143	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-2159	0	0	0	-4.770616398191687	0	-0.2558125631304211	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-2160	0	0	0	-4.770616398191687	0	-1.3655821773899595	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-2164	0	0	0	-4.770616398191687	0	0.11017916470388602	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-2443	0	0	0	-4.770616398191687	0	0.2314922684339734	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-2494	0	0	0	-4.770616398191687	0	-0.1033948574576247	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-2659	7952	7322	6.583409222158765	-0.9059273640548359	8.66787141106622	8.685924351157302	1
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-2792	0	0	0	-4.770616398191687	0	-0.6261435900523723	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-3031	0	0	0	-4.770616398191687	0	-2.1603865611345485	0
HN4-d61	HN_C	HN	C	61	0	1	HAMBI-3237	0	0	0	-4.770616398191687	0	-0.9231492756690288	0
HN5_d0	HN_D	HN	D	0	0	1	HAMBI-0006	1980	1795	5.442417710521793	-1.4003321840413347	8.236676052069077	8.236676052069077	1
HN5_d0	HN_D	HN	D	0	0	1	HAMBI-0097	4235	1799	5.521460917862246	-1.3993660112693143	8.238901396408128	8.238901396408128	1
HN5_d0	HN_D	HN	D	0	0	1	HAMBI-0105	281	1801	5.407171771460119	-1.3988837297295762	8.240012214269473	8.240012214269473	1
HN5_d0	HN_D	HN	D	0	0	1	HAMBI-0262	11	1266	5.111987788356544	-1.551861901489179	7.887643979284304	7.887643979284304	1
