sample	strainID	genus	species	count
H3-d61	HAMBI-1279	Hafnia	alvei	0
H3-d61	HAMBI-1287	Citrobacter	koseri	0
H3-d61	HAMBI-1292	Morganella	morganii	17071
H3-d61	HAMBI-1299	Kluyvera	intermedia	0
H3-d61	HAMBI-1842	Sphingobium	yanoikuyae	0
H3-d61	HAMBI-1896	Sphingobacterium	spiritivorum	0
H3-d61	HAMBI-1923	Myroides	odoratus	0
H3-d61	HAMBI-1972	Aeromonas	caviae	10
H3-d61	HAMBI-1977	Pseudomonas	chlororaphis	74554
H3-d61	HAMBI-1988	Chitinophaga	sancti	0
H3-d61	HAMBI-2159	Paraburkholderia	caryophylli	0
H3-d61	HAMBI-2160	Bordetella	avium	0
H3-d61	HAMBI-2164	Cupriavidus	necator	0
H3-d61	HAMBI-2443	Paracoccus	denitrificans	0
H3-d61	HAMBI-2494	Paraburkholderia	kururiensis	0
H3-d61	HAMBI-2659	Stenotrophomonas	maltophilia	56
H3-d61	HAMBI-2792	Moraxella	canis	0
H3-d61	HAMBI-3031	Niabella	yanshanensis	0
H3-d61	HAMBI-3237	Microvirga	lotononidis	0
H3-d9	HAMBI-0006	Pseudomonas	putida	15
H3-d9	HAMBI-0097	Acinetobacter	lwoffii	62
H3-d9	HAMBI-0105	Agrobacterium	tumefaciens	1
H3-d9	HAMBI-0262	Brevundimonas	bullata	0
H3-d9	HAMBI-0403	Comamonas	testosteroni	295
H3-d9	HAMBI-1279	Hafnia	alvei	228
H3-d9	HAMBI-1287	Citrobacter	koseri	3451
H3-d9	HAMBI-1292	Morganella	morganii	8741
H3-d9	HAMBI-1299	Kluyvera	intermedia	326
H3-d9	HAMBI-1842	Sphingobium	yanoikuyae	0
H3-d9	HAMBI-1896	Sphingobacterium	spiritivorum	0
H3-d9	HAMBI-1923	Myroides	odoratus	37
H3-d9	HAMBI-1972	Aeromonas	caviae	40447
H3-d9	HAMBI-1977	Pseudomonas	chlororaphis	19136
H3-d9	HAMBI-1988	Chitinophaga	sancti	1
H3-d9	HAMBI-2159	Paraburkholderia	caryophylli	2
H3-d9	HAMBI-2160	Bordetella	avium	1
H3-d9	HAMBI-2164	Cupriavidus	necator	0
H3-d9	HAMBI-2443	Paracoccus	denitrificans	0
H3-d9	HAMBI-2494	Paraburkholderia	kururiensis	1
H3-d9	HAMBI-2659	Stenotrophomonas	maltophilia	512
H3-d9	HAMBI-2792	Moraxella	canis	0
H3-d9	HAMBI-3031	Niabella	yanshanensis	0
